model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
gradient_boosting,0.49550898203592814,0.5063784231170607,0.4747252747252747,0.6878980891719745,0.5617685305591678,0.49500251898233116
logistic_regression,0.5044910179640718,0.5049569973730613,0.4749262536873156,0.5127388535031847,0.49310872894333846,0.5180377127640433
random_forest,0.5149700598802395,0.5162834214977149,0.48563218390804597,0.5382165605095541,0.5105740181268882,0.5206016769225233
