timestamp,open,high,low,close,volume
2026-05-06T04:00:00Z,4653.60009765625,4664.39990234375,4653.2998046875,4660.0,0
2026-05-06T05:00:00Z,4660.0,4674.7998046875,4655.60009765625,4673.89990234375,5023
2026-05-06T06:00:00Z,4673.89990234375,4680.2001953125,4667.7998046875,4679.5,5370
2026-05-06T07:00:00Z,4679.7998046875,4693.2001953125,4668.5,4692.39990234375,8958
2026-05-06T08:00:00Z,4692.7001953125,4714.2998046875,4682.7998046875,4712.0,9457
2026-05-06T09:00:00Z,4712.0,4720.2001953125,4699.7001953125,4713.39990234375,11803
2026-05-06T10:00:00Z,4713.2998046875,4734.60009765625,4707.39990234375,4729.60009765625,9749
2026-05-06T11:00:00Z,4729.39990234375,4732.7001953125,4702.0,4703.2998046875,9417
2026-05-06T12:00:00Z,4703.2998046875,4704.7998046875,4671.0,4694.39990234375,13878
2026-05-06T13:00:00Z,4694.10009765625,4719.2001953125,4679.5,4713.5,13571
2026-05-06T14:00:00Z,4713.39990234375,4728.7001953125,4708.7998046875,4714.2001953125,11787
2026-05-06T15:00:00Z,4714.2001953125,4717.2998046875,4699.2001953125,4699.2998046875,6023
2026-05-06T16:00:00Z,4699.0,4703.5,4690.60009765625,4694.0,5182
2026-05-06T17:00:00Z,4693.89990234375,4699.10009765625,4689.7998046875,4694.7998046875,6487
2026-05-06T18:00:00Z,4695.10009765625,4701.2998046875,4692.7001953125,4696.7998046875,3132
2026-05-06T19:00:00Z,4697.10009765625,4711.2998046875,4697.10009765625,4703.0,3765
2026-05-06T20:00:00Z,4703.5,4710.39990234375,4695.7998046875,4703.10009765625,2125
2026-05-06T22:00:00Z,4702.2001953125,4709.2001953125,4698.0,4704.10009765625,0
2026-05-06T23:00:00Z,4703.7001953125,4708.89990234375,4699.2998046875,4708.2001953125,1386
2026-05-07T00:00:00Z,4708.2998046875,4710.39990234375,4694.2001953125,4697.60009765625,2468
2026-05-07T01:00:00Z,4697.39990234375,4730.5,4694.0,4723.7001953125,6562
2026-05-07T02:00:00Z,4723.39990234375,4727.2998046875,4708.2001953125,4716.0,2563
2026-05-07T03:00:00Z,4715.2001953125,4718.60009765625,4708.89990234375,4709.0,1410
2026-05-07T04:00:00Z,4707.7001953125,4709.5,4700.39990234375,4705.10009765625,2338
2026-05-07T05:00:00Z,4705.0,4715.39990234375,4703.10009765625,4709.39990234375,2309
2026-05-07T06:00:00Z,4709.5,4759.39990234375,4709.5,4748.60009765625,7868
2026-05-07T07:00:00Z,4747.7998046875,4760.5,4741.0,4752.5,6031
2026-05-07T08:00:00Z,4753.2001953125,4763.60009765625,4740.89990234375,4741.10009765625,6660
2026-05-07T09:00:00Z,4741.39990234375,4749.0,4732.0,4738.39990234375,5442
2026-05-07T10:00:00Z,4738.10009765625,4749.60009765625,4736.0,4745.0,3028
2026-05-07T11:00:00Z,4745.39990234375,4753.0,4736.39990234375,4752.0,4139
2026-05-07T12:00:00Z,4752.10009765625,4762.7001953125,4741.7001953125,4760.10009765625,8404
2026-05-07T13:00:00Z,4760.2001953125,4768.5,4741.0,4756.5,11580
2026-05-07T14:00:00Z,4756.0,4774.0,4751.10009765625,4773.2998046875,13270
2026-05-07T15:00:00Z,4773.39990234375,4775.2001953125,4694.2998046875,4739.10009765625,12905
2026-05-07T16:00:00Z,4739.2998046875,4739.89990234375,4712.60009765625,4724.7998046875,11706
2026-05-07T17:00:00Z,4725.0,4729.5,4696.60009765625,4721.10009765625,25024
2026-05-07T18:00:00Z,4721.0,4725.5,4704.60009765625,4719.10009765625,6563
2026-05-07T19:00:00Z,4719.60009765625,4722.5,4707.0,4712.89990234375,4212
2026-05-07T20:00:00Z,4713.0,4729.10009765625,4693.2998046875,4696.0,4068
2026-05-07T22:00:00Z,4682.5,4708.5,4671.0,4694.89990234375,0
2026-05-07T23:00:00Z,4694.39990234375,4714.39990234375,4693.89990234375,4713.2001953125,1629
2026-05-08T00:00:00Z,4713.39990234375,4718.5,4702.7001953125,4710.0,2412
2026-05-08T01:00:00Z,4710.10009765625,4734.2998046875,4709.10009765625,4731.2001953125,4467
2026-05-08T02:00:00Z,4731.10009765625,4741.39990234375,4715.39990234375,4721.7001953125,3497
2026-05-08T03:00:00Z,4721.60009765625,4739.7998046875,4719.2998046875,4729.0,2252
2026-05-08T04:00:00Z,4728.60009765625,4731.89990234375,4716.60009765625,4719.39990234375,2211
2026-05-08T05:00:00Z,4719.60009765625,4740.0,4718.2998046875,4736.0,2147
2026-05-08T06:00:00Z,4736.5,4743.5,4721.10009765625,4734.2998046875,3944
2026-05-08T07:00:00Z,4734.0,4734.89990234375,4706.2001953125,4717.39990234375,6270
2026-05-08T08:00:00Z,4717.2001953125,4732.89990234375,4715.89990234375,4724.7998046875,2612
2026-05-08T09:00:00Z,4725.39990234375,4732.5,4716.89990234375,4721.60009765625,3270
2026-05-08T10:00:00Z,4721.39990234375,4737.7998046875,4720.7001953125,4729.39990234375,2592
2026-05-08T11:00:00Z,4730.10009765625,4737.0,4723.2001953125,4727.5,3506
2026-05-08T12:00:00Z,4727.5,4741.60009765625,4709.60009765625,4734.10009765625,10610
2026-05-08T13:00:00Z,4733.39990234375,4758.60009765625,4725.7001953125,4757.7998046875,13327
2026-05-08T14:00:00Z,4757.7998046875,4760.39990234375,4723.10009765625,4725.7001953125,13223
2026-05-08T15:00:00Z,4725.7998046875,4730.7998046875,4711.5,4716.60009765625,10420
2026-05-08T16:00:00Z,4716.39990234375,4729.89990234375,4715.0,4721.89990234375,4564
2026-05-08T17:00:00Z,4721.89990234375,4732.10009765625,4721.7001953125,4730.39990234375,10898
2026-05-08T18:00:00Z,4730.39990234375,4738.60009765625,4729.2998046875,4731.89990234375,3024
2026-05-08T19:00:00Z,4731.5,4736.39990234375,4730.60009765625,4733.39990234375,1986
2026-05-08T20:00:00Z,4733.7998046875,4733.89990234375,4723.2998046875,4730.7001953125,2075
2026-05-10T22:00:00Z,4696.7998046875,4704.5,4690.0,4700.10009765625,2147
2026-05-10T23:00:00Z,4700.0,4707.5,4697.2998046875,4700.2998046875,1740
2026-05-11T00:00:00Z,4699.89990234375,4702.10009765625,4678.39990234375,4692.5,5051
2026-05-11T01:00:00Z,4692.0,4714.10009765625,4683.5,4694.2001953125,6290
2026-05-11T02:00:00Z,4694.7001953125,4709.0,4684.7001953125,4690.0,5125
2026-05-11T03:00:00Z,4689.60009765625,4698.2998046875,4683.10009765625,4687.0,2809
2026-05-11T04:00:00Z,4686.39990234375,4687.7001953125,4675.89990234375,4679.7998046875,2618
2026-05-11T05:00:00Z,4679.7998046875,4688.7998046875,4655.10009765625,4659.60009765625,6147
2026-05-11T06:00:00Z,4659.5,4688.7001953125,4656.60009765625,4686.7001953125,5518
2026-05-11T07:00:00Z,4686.89990234375,4688.60009765625,4672.7998046875,4676.39990234375,3301
