timestamp,open,high,low,close,volume,target
2025-12-15T05:00:00Z,4359.0,4378.0,4357.7998046875,4377.5,0,0
2025-12-15T06:00:00Z,4377.2998046875,4380.5,4372.2001953125,4376.10009765625,4563,0
2025-12-15T07:00:00Z,4376.10009765625,4377.7998046875,4366.7001953125,4372.39990234375,6472,1
2025-12-15T08:00:00Z,4372.2001953125,4382.60009765625,4372.0,4380.39990234375,5127,0
2025-12-15T09:00:00Z,4380.2998046875,4384.2998046875,4375.7001953125,4376.10009765625,5429,0
2025-12-15T10:00:00Z,4376.2998046875,4382.5,4372.0,4374.0,5970,1
2025-12-15T11:00:00Z,4373.7998046875,4377.7001953125,4369.39990234375,4376.60009765625,4594,1
2025-12-15T12:00:00Z,4376.89990234375,4382.60009765625,4376.7998046875,4379.89990234375,4809,0
2025-12-15T13:00:00Z,4379.89990234375,4380.7001953125,4364.2998046875,4365.7001953125,13370,0
2025-12-15T14:00:00Z,4365.7001953125,4370.39990234375,4348.7001953125,4355.39990234375,26496,0
2025-12-15T15:00:00Z,4355.2998046875,4359.7998046875,4342.7998046875,4349.89990234375,24938,0
2025-12-15T16:00:00Z,4350.0,4350.5,4315.89990234375,4328.2001953125,31113,1
2025-12-15T17:00:00Z,4328.10009765625,4336.2998046875,4321.2001953125,4334.2998046875,10665,1
2025-12-15T18:00:00Z,4334.10009765625,4343.2998046875,4329.60009765625,4342.7001953125,9238,1
2025-12-15T19:00:00Z,4342.5,4347.0,4336.60009765625,4342.89990234375,7200,0
2025-12-15T20:00:00Z,4342.7998046875,4343.2998046875,4327.89990234375,4333.7001953125,6661,1
2025-12-15T21:00:00Z,4333.89990234375,4335.10009765625,4329.7001953125,4334.2998046875,2212,0
2025-12-15T23:00:00Z,4334.2998046875,4339.10009765625,4332.2998046875,4333.10009765625,0,1
2025-12-16T00:00:00Z,4333.2001953125,4341.89990234375,4332.0,4335.7998046875,3274,1
2025-12-16T01:00:00Z,4336.0,4345.2998046875,4326.39990234375,4336.2998046875,6630,0
2025-12-16T02:00:00Z,4336.2001953125,4340.0,4312.60009765625,4316.39990234375,7096,1
2025-12-16T03:00:00Z,4316.5,4321.5,4307.2001953125,4317.2001953125,9481,0
2025-12-16T04:00:00Z,4317.2998046875,4318.60009765625,4313.0,4315.10009765625,1788,0
2025-12-16T05:00:00Z,4315.39990234375,4318.89990234375,4297.39990234375,4309.89990234375,7398,1
2025-12-16T06:00:00Z,4310.2998046875,4318.39990234375,4308.7001953125,4315.5,3126,0
2025-12-16T07:00:00Z,4315.60009765625,4315.89990234375,4304.89990234375,4313.39990234375,4797,0
2025-12-16T08:00:00Z,4313.2998046875,4315.10009765625,4301.0,4311.7998046875,7445,0
2025-12-16T09:00:00Z,4311.5,4312.60009765625,4303.10009765625,4306.7998046875,4115,0
2025-12-16T10:00:00Z,4307.2001953125,4311.60009765625,4301.60009765625,4305.10009765625,7371,1
2025-12-16T11:00:00Z,4304.89990234375,4307.5,4301.2001953125,4306.7998046875,3882,1
2025-12-16T12:00:00Z,4306.7001953125,4323.39990234375,4304.89990234375,4323.2001953125,7386,1
2025-12-16T13:00:00Z,4323.0,4343.10009765625,4319.2001953125,4342.5,22895,1
2025-12-16T14:00:00Z,4342.7001953125,4363.7998046875,4341.0,4356.10009765625,28910,0
2025-12-16T15:00:00Z,4355.89990234375,4367.89990234375,4344.2998046875,4351.7998046875,24819,0
2025-12-16T16:00:00Z,4352.10009765625,4355.7001953125,4322.89990234375,4332.0,19088,1
2025-12-16T17:00:00Z,4332.10009765625,4342.2001953125,4330.39990234375,4333.7998046875,9524,1
2025-12-16T18:00:00Z,4334.0,4344.2001953125,4328.10009765625,4341.5,10273,0
2025-12-16T19:00:00Z,4341.7998046875,4346.2001953125,4326.2998046875,4341.39990234375,7933,0
2025-12-16T20:00:00Z,4341.10009765625,4344.7998046875,4332.5,4334.10009765625,5392,0
2025-12-16T21:00:00Z,4334.10009765625,4334.89990234375,4329.7001953125,4332.2001953125,1602,1
2025-12-16T23:00:00Z,4333.5,4337.7001953125,4330.7001953125,4336.89990234375,0,1
2025-12-17T00:00:00Z,4336.7001953125,4343.60009765625,4336.2998046875,4342.2001953125,2145,1
2025-12-17T01:00:00Z,4342.0,4355.2998046875,4339.89990234375,4355.0,6698,0
2025-12-17T02:00:00Z,4355.2998046875,4356.39990234375,4340.0,4343.2998046875,5474,1
2025-12-17T03:00:00Z,4343.7001953125,4354.39990234375,4341.60009765625,4353.2001953125,4969,1
2025-12-17T04:00:00Z,4353.5,4361.60009765625,4349.89990234375,4359.7998046875,4357,1
2025-12-17T05:00:00Z,4359.5,4373.60009765625,4357.5,4364.89990234375,8517,0
2025-12-17T06:00:00Z,4364.7998046875,4368.7001953125,4355.0,4359.39990234375,5161,0
2025-12-17T07:00:00Z,4359.2998046875,4359.2998046875,4345.5,4348.10009765625,5607,1
2025-12-17T08:00:00Z,4347.7998046875,4351.0,4337.89990234375,4348.2998046875,6618,0
2025-12-17T09:00:00Z,4348.10009765625,4352.60009765625,4344.7001953125,4345.7001953125,3936,1
2025-12-17T10:00:00Z,4345.39990234375,4351.60009765625,4335.7001953125,4346.10009765625,5829,0
2025-12-17T11:00:00Z,4346.2998046875,4349.7001953125,4344.2001953125,4345.89990234375,2905,1
2025-12-17T12:00:00Z,4346.10009765625,4353.7001953125,4344.7001953125,4347.5,5324,1
2025-12-17T13:00:00Z,4347.7998046875,4375.89990234375,4345.2998046875,4373.60009765625,20217,0
2025-12-17T14:00:00Z,4373.5,4378.2001953125,4354.10009765625,4369.2998046875,25749,0
2025-12-17T15:00:00Z,4369.0,4383.60009765625,4355.10009765625,4361.5,32351,1
2025-12-17T16:00:00Z,4361.7001953125,4370.0,4351.0,4365.2001953125,19093,1
2025-12-17T17:00:00Z,4365.10009765625,4373.60009765625,4360.2001953125,4373.39990234375,10222,0
2025-12-17T18:00:00Z,4373.60009765625,4378.5,4360.7001953125,4367.7001953125,14384,1
