timestamp,open,high,low,close,volume,target,return_1,ma_gap,volatility_10,candle_body_ratio,rsi_14
2026-05-07T00:00:00Z,4708.2998046875,4710.39990234375,4694.2001953125,4697.60009765625,2468,1,-0.0022514118381804504,0.000818222331252112,0.0014132842756330605,0.6604876872532176,43.20152954029751
2026-05-07T01:00:00Z,4697.39990234375,4730.5,4694.0,4723.7001953125,6562,0,0.005556049283393039,0.0010207561220835883,0.0023462469074310753,0.7205559717465754,47.66064548605061
2026-05-07T02:00:00Z,4723.39990234375,4727.2998046875,4708.2001953125,4716.0,2563,0,-0.0016301193966842265,0.0011212582619491884,0.002143534160935597,0.3874373657838225,55.90701392610896
2026-05-07T03:00:00Z,4715.2001953125,4718.60009765625,4708.89990234375,4709.0,1410,0,-0.001484308736217188,0.0010157204967196447,0.0021737237567825457,0.6391825229034531,56.91285470543902
2026-05-07T04:00:00Z,4707.7001953125,4709.5,4700.39990234375,4705.10009765625,2338,1,-0.0008281805784137175,0.0007489391817781866,0.002204145903709198,0.2857219509577722,45.354081483842045
2026-05-07T05:00:00Z,4705.0,4715.39990234375,4703.10009765625,4709.39990234375,2309,1,0.0009138604064218292,0.0012779941173346853,0.0022145530495696598,0.35772131798332674,47.44666593944305
2026-05-07T06:00:00Z,4709.5,4759.39990234375,4709.5,4748.60009765625,7868,1,0.00832381962147477,0.001961396475961737,0.0033828360967177616,0.7835706247859484,70.83692767429287
2026-05-07T07:00:00Z,4747.7998046875,4760.5,4741.0,4752.5,6031,0,0.0008212741152229253,0.003267845120952882,0.0033673174940788996,0.24103565705128205,75.0213021903664
2026-05-07T08:00:00Z,4753.2001953125,4763.60009765625,4740.89990234375,4741.10009765625,6660,0,-0.0023987169581799472,0.004228028799952426,0.0035365191075677604,0.5330393633039363,68.15690810007621
2026-05-07T09:00:00Z,4741.39990234375,4749.0,4732.0,4738.39990234375,5442,1,-0.000569529277357983,0.00517224137026941,0.0035620673519634986,0.17647058823529413,66.2246005598827
2026-05-07T10:00:00Z,4738.10009765625,4749.60009765625,4736.0,4745.0,3028,1,0.0013928958703939287,0.006346503140600769,0.003416218971899809,0.5073421175456863,66.32963010775552
2026-05-07T11:00:00Z,4745.39990234375,4753.0,4736.39990234375,4752.0,4139,1,0.0014752370916755186,0.006087443871570614,0.003035294877406142,0.3975939053445892,68.04417938415524
2026-05-07T12:00:00Z,4752.10009765625,4762.7001953125,4741.7001953125,4760.10009765625,8404,0,0.0017045660051031586,0.005761498896009263,0.0029446925885632915,0.38095238095238093,69.63526293803031
2026-05-07T13:00:00Z,4760.2001953125,4768.5,4741.0,4756.5,11580,1,-0.0007563071327055804,0.005748155495813464,0.0028866601769700025,0.13455255681818182,66.99493509081788
2026-05-07T14:00:00Z,4756.0,4774.0,4751.10009765625,4773.2998046875,13270,0,0.0035319677677914108,0.00638964199520652,0.0029077285929691474,0.7554532079575258,75.52244015027048
